id;sample;name;price;date
1;during;a shinny;19457;2025-02-08
2;consequently serpentine;openly;14357;2025-02-08
3;for sensitize;than;25395;2025-02-07
4;whoa until;commercial;13322;2025-02-07
5;yet inasmuch;gah which;15444;2025-02-08
6;restfully anxiously provided;tomb brilliant;13456;2025-02-07
7;as;how gray;21473;2025-02-07
8;facilitate optimistically needily;that loftily chairperson;22488;2025-02-08
9;modulo;underneath whoever assail;13954;2025-02-08
10;amidst ew fussy;granular likewise on;25206;2025-02-08
